StoryID	Keyword	Comment	Timing	ParentKeyword
tos0x01	visit a planet	Talos IV		
tos0x01	rescue mission			
tos0x01	abduction			
tos0x01	captain behind bars			
tos0x01	picnic			
tos0x01	heart to heart conversation	Pike&Boyce	3:25-6:45	
tos0x01	ruse	Talosians about luring them to the planet		
tos0x01	damsel in distress			
tos0x01	countdown	for super phaser		
tos0x01	ship-wide power drain			ship crisis
tos0x01	aliens probe ship record banks			
tos0x01	escape			
tos0x01	plot twist	Vina is woefully disfigured		
tos0x01	end joke			
tos1x01	Kirkologue		42:00-42:55	
tos1x01	ship takeover			ship crisis
tos1x01	main engine burned out			ship crisis, mechanical complication
tos1x01	crew manifest review			
tos1x01	torn shirt captain		46:15	
tos1x01	exploration mission	exit galaxy		
tos1x01	confinement to sickbay	Gary		
tos1x01	setback	Elizabeth too had the power		
tos1x01	captain's log		0:09-0:32, 48:35-48-56	
tos1x01	end joke			
tos1x02	space confrontation	Enterprise and cube, Enterprise and Fesarius		
tos1x02	corbomite maneuver			
tos1x02	space stand off			
tos1x02	race against time			
tos1x02	shirtless captain		4:00-6:30	
tos1x02	captain's log		8:20-8:35	
tos1x02	turbolift chat	Kirk/McCoy	14:32-15:15	
tos1x02	countdown	10 mins when Fesarius threatens to destroy Enterprise	22:00-33:08	
tos1x02	space tow	pilot ship tows Enterprise to a planet		
tos1x03	space chase	Enterprise and cargo vessel	0:10	
tos1x03	race against time	5 hours before power runs out		
tos1x03	end joke			
tos1x03	metaphor	some kind crystals beauty and women		
tos1x03	Siren song scenario	Mudd's women mesmerize the crew		
tos1x03	lithium crystal fracture up the base			mechanical complication
tos1x03	rig a bypass circuit			tech solution
tos1x03	visit a colony	mining colony		
tos1x03	repair ship objective			
tos1x03	cracked lithium crystal			ship crisis
tos1x03	search and rescue mission	Ben Childress/Eve		
tos1x04	survey mission	specimen gathering mission on Alfa 177		
tos1x04	visit a planet	Alfa 177		
tos1x04	split beam up			transporter complication
tos1x04	cat and mouse game			
tos1x04	find the impostor			
tos1x04	manhunt			
tos1x04	heat a rock with a phaser			phaser trick
tos1x04	shirtless captain		7:30-8:00	
tos1x04	evil cloning			transporter complication
tos1x04	race against time	rescue Sulu before he freezes to death		
tos1x04	captain's log	Kirk; Kirk; Spock	18:10-1828; 36:30-36:50	
tos1x04	transporter unit ionizer shot by phaser			transporter complication
tos1x04	rig a bypass circuit			tech solution
tos1x04	who is the impostor scenario	good and evil Kirk on the bridge		
tos1x05	visit a planet	scientific outpost		
tos1x05	medical checkup mission			
tos1x05	find an impostor			
tos1x05	supply mission			
tos1x05	captain's log		0:00-0:45, 4:55-5:15, 13:45-14:20, 30:30-30:40, 32:05-32:20, 39:27-35:37	
tos1x06	doomed planet			
tos1x06	pick up a scientist mission			mission
tos1x06	scientific observation mission	planetary break up		mission
tos1x06	race against time	t-minus 20 minutes; ship out of control and spiraling into planet; 8 minutes scotty needs 30 minutes		
tos1x06	find a cure			
tos1x06	surprise set back	the engines were shut off		
tos1x06	last ditched effort	cold start		
tos1x06	ship takeover	Riley in engineering		ship crisis
tos1x06	captain's log		0:00-0:25, 4:10-4:30, 12:10-12:20, 38:40-38:50	
tos1x06	surgical procedure	McCoy on Tormolen	14:10-14:45	
tos1x06	ship-wide pandemic	polywater intoxication		ship crisis
tos1x06	torn shirt captain		44:20	
tos1x06	time travel			
tos1x07	captain's log		0:00-0:15, 4:00-4:20, 16:45-16:50	
tos1x07	rendezvous mission	Enterprise and Antares		
tos1x07	transport a person mission	Charlie		
tos1x07	shirtless captain		25:20-30:30	
